Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,8.9,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Allegany,6.6,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Anne Arundel,7.8,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Baltimore City,12.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Baltimore County,9.5,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Calvert,7.8,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Caroline,7.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Carroll,6.8,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Cecil,7.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Charles,11.1,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Dorchester,7.3,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Frederick,6.9,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Garrett,11,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Harford,7.2,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Howard,8.3,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Kent,10.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Montgomery,7.5,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Prince George's,9.8,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Queen Anne's,9.3,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Saint Mary's,6.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Somerset,13.2,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Talbot,7.3,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Washington,9.4,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Wicomico,9.9,All races/ ethnicities (aggregated),2017,Babies with low birth weight
Worcester,5,All races/ ethnicities (aggregated),2017,Babies with low birth weight
State,8.6,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Allegany,8.6,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Anne Arundel,7.4,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Baltimore City,11.7,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Baltimore County,8.8,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Calvert,6.1,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Caroline,6.2,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Carroll,7.1,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Cecil,7.9,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Charles,10.2,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Dorchester,9.7,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Frederick,5.9,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Garrett,10,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Harford,7.6,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Howard,8.4,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Kent,8.1,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Montgomery,7.2,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Prince George's,9.7,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Queen Anne's,7.6,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Saint Mary's,6.5,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Somerset,10.2,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Talbot,7.6,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Washington,9.4,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Wicomico,9,All races/ ethnicities (aggregated),2016,Babies with low birth weight
Worcester,6,All races/ ethnicities (aggregated),2016,Babies with low birth weight
State,8.6,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Allegany,9.8,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Anne Arundel,7.8,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Baltimore City,12.3,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Baltimore County,9,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Calvert,5.3,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Caroline,8.7,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Carroll,5.9,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Cecil,8.9,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Charles,9,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Dorchester,11.3,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Frederick,7.4,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Garrett,8.2,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Harford,7.1,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Howard,8.1,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Kent,10.8,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Montgomery,7.1,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Prince George's,9.1,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Queen Anne's,6.7,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Saint Mary's,5.1,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Somerset,6.2,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Talbot,4.3,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Washington,9.5,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Wicomico,9.1,All races/ ethnicities (aggregated),2015,Babies with low birth weight
Worcester,9.2,All races/ ethnicities (aggregated),2015,Babies with low birth weight
State,8.6,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Allegany,7.3,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Anne Arundel,8.1,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Baltimore City,11.5,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Baltimore County,8.8,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Calvert,7.1,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Caroline,9.1,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Carroll,6.2,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Cecil,5.8,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Charles,7.4,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Dorchester,10.6,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Frederick,7.5,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Garrett,10.6,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Harford,7.5,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Howard,8,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Kent,12.1,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Montgomery,7.7,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Prince George's,9.2,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Queen Anne's,5.1,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Saint Mary's,7.7,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Somerset,9.6,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Talbot,7.2,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Washington,9,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Wicomico,9.3,All races/ ethnicities (aggregated),2014,Babies with low birth weight
Worcester,8.2,All races/ ethnicities (aggregated),2014,Babies with low birth weight
State,8.5,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Allegany,9.8,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Anne Arundel,7.5,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Baltimore City,11.9,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Baltimore County,8.5,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Calvert,8.7,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Caroline,6.6,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Carroll,7.3,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Cecil,6.9,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Charles,8,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Dorchester,9.8,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Frederick,7.4,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Garrett,7.6,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Harford,6.8,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Howard,7.8,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Kent,8.6,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Montgomery,7.5,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Prince George's,9.4,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Queen Anne's,5.5,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Saint Mary's,6.3,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Somerset,5.3,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Talbot,8.7,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Washington,6.8,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Wicomico,8.1,All races/ ethnicities (aggregated),2013,Babies with low birth weight
Worcester,5.1,All races/ ethnicities (aggregated),2013,Babies with low birth weight
State,8.8,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Allegany,7.6,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Anne Arundel,7.8,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Baltimore City,11.8,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Baltimore County,9,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Calvert,6.9,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Caroline,10.1,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Carroll,6.2,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Cecil,7.7,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Charles,10.8,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Dorchester,8.9,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Frederick,8.2,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Garrett,8.4,All races/ ethnicities (aggregated),2012,Babies with low birth weight
Harford,6.8,All races/ ethnicities (aggregated),2012,Babies with low birth weight
