Jurisdiction,Value,Race/ ethnicity,Year,Measure
State,14.2,All races/ ethnicities (aggregated),2017,Teen birth rate
Allegany,23.5,All races/ ethnicities (aggregated),2017,Teen birth rate
Anne Arundel,11.9,All races/ ethnicities (aggregated),2017,Teen birth rate
Baltimore City,28.9,All races/ ethnicities (aggregated),2017,Teen birth rate
Baltimore County,11,All races/ ethnicities (aggregated),2017,Teen birth rate
Calvert,8.1,All races/ ethnicities (aggregated),2017,Teen birth rate
Caroline,15.8,All races/ ethnicities (aggregated),2017,Teen birth rate
Carroll,6.7,All races/ ethnicities (aggregated),2017,Teen birth rate
Cecil,18.2,All races/ ethnicities (aggregated),2017,Teen birth rate
Charles,13.5,All races/ ethnicities (aggregated),2017,Teen birth rate
Dorchester,21.4,All races/ ethnicities (aggregated),2017,Teen birth rate
Frederick,8.3,All races/ ethnicities (aggregated),2017,Teen birth rate
Garrett,17.9,All races/ ethnicities (aggregated),2017,Teen birth rate
Harford,9,All races/ ethnicities (aggregated),2017,Teen birth rate
Howard,6,All races/ ethnicities (aggregated),2017,Teen birth rate
Kent,8.5,All races/ ethnicities (aggregated),2017,Teen birth rate
Montgomery,9.5,All races/ ethnicities (aggregated),2017,Teen birth rate
Prince George's,19.3,All races/ ethnicities (aggregated),2017,Teen birth rate
Queen Anne's,9.1,All races/ ethnicities (aggregated),2017,Teen birth rate
Saint Mary's,9,All races/ ethnicities (aggregated),2017,Teen birth rate
Somerset,13,All races/ ethnicities (aggregated),2017,Teen birth rate
Talbot,11.3,All races/ ethnicities (aggregated),2017,Teen birth rate
Washington,26.1,All races/ ethnicities (aggregated),2017,Teen birth rate
Wicomico,19.5,All races/ ethnicities (aggregated),2017,Teen birth rate
Worcester,12.9,All races/ ethnicities (aggregated),2017,Teen birth rate
State,15.9,All races/ ethnicities (aggregated),2016,Teen birth rate
Allegany,21,All races/ ethnicities (aggregated),2016,Teen birth rate
Anne Arundel,13.4,All races/ ethnicities (aggregated),2016,Teen birth rate
Baltimore City,32.6,All races/ ethnicities (aggregated),2016,Teen birth rate
Baltimore County,12.7,All races/ ethnicities (aggregated),2016,Teen birth rate
Calvert,7.6,All races/ ethnicities (aggregated),2016,Teen birth rate
Caroline,21.2,All races/ ethnicities (aggregated),2016,Teen birth rate
Carroll,7.5,All races/ ethnicities (aggregated),2016,Teen birth rate
Cecil,20.5,All races/ ethnicities (aggregated),2016,Teen birth rate
Charles,11.8,All races/ ethnicities (aggregated),2016,Teen birth rate
Dorchester,27.4,All races/ ethnicities (aggregated),2016,Teen birth rate
Frederick,10.2,All races/ ethnicities (aggregated),2016,Teen birth rate
Garrett,25.2,All races/ ethnicities (aggregated),2016,Teen birth rate
Harford,12.1,All races/ ethnicities (aggregated),2016,Teen birth rate
Howard,6.5,All races/ ethnicities (aggregated),2016,Teen birth rate
Kent,6.9,All races/ ethnicities (aggregated),2016,Teen birth rate
Montgomery,11.2,All races/ ethnicities (aggregated),2016,Teen birth rate
Prince George's,20.7,All races/ ethnicities (aggregated),2016,Teen birth rate
Queen Anne's,14.8,All races/ ethnicities (aggregated),2016,Teen birth rate
Saint Mary's,14.7,All races/ ethnicities (aggregated),2016,Teen birth rate
Somerset,19.4,All races/ ethnicities (aggregated),2016,Teen birth rate
Talbot,22.9,All races/ ethnicities (aggregated),2016,Teen birth rate
Washington,25.8,All races/ ethnicities (aggregated),2016,Teen birth rate
Wicomico,16.9,All races/ ethnicities (aggregated),2016,Teen birth rate
Worcester,14.9,All races/ ethnicities (aggregated),2016,Teen birth rate
State,16.9,All races/ ethnicities (aggregated),2015,Teen birth rate
Allegany,24.7,All races/ ethnicities (aggregated),2015,Teen birth rate
Anne Arundel,14.4,All races/ ethnicities (aggregated),2015,Teen birth rate
Baltimore City,36.2,All races/ ethnicities (aggregated),2015,Teen birth rate
Baltimore County,14.6,All races/ ethnicities (aggregated),2015,Teen birth rate
Calvert,9.6,All races/ ethnicities (aggregated),2015,Teen birth rate
Caroline,27,All races/ ethnicities (aggregated),2015,Teen birth rate
Carroll,6.8,All races/ ethnicities (aggregated),2015,Teen birth rate
Cecil,18.3,All races/ ethnicities (aggregated),2015,Teen birth rate
Charles,15.3,All races/ ethnicities (aggregated),2015,Teen birth rate
Dorchester,50.7,All races/ ethnicities (aggregated),2015,Teen birth rate
Frederick,11,All races/ ethnicities (aggregated),2015,Teen birth rate
Garrett,31.8,All races/ ethnicities (aggregated),2015,Teen birth rate
Harford,8.8,All races/ ethnicities (aggregated),2015,Teen birth rate
Howard,6.1,All races/ ethnicities (aggregated),2015,Teen birth rate
Kent,18.2,All races/ ethnicities (aggregated),2015,Teen birth rate
Montgomery,11.6,All races/ ethnicities (aggregated),2015,Teen birth rate
Prince George's,21.1,All races/ ethnicities (aggregated),2015,Teen birth rate
Queen Anne's,6.8,All races/ ethnicities (aggregated),2015,Teen birth rate
Saint Mary's,14.8,All races/ ethnicities (aggregated),2015,Teen birth rate
Somerset,22.5,All races/ ethnicities (aggregated),2015,Teen birth rate
Talbot,15.4,All races/ ethnicities (aggregated),2015,Teen birth rate
Washington,24.7,All races/ ethnicities (aggregated),2015,Teen birth rate
Wicomico,20,All races/ ethnicities (aggregated),2015,Teen birth rate
Worcester,20.9,All races/ ethnicities (aggregated),2015,Teen birth rate
State,17.8,All races/ ethnicities (aggregated),2014,Teen birth rate
Allegany,23.4,All races/ ethnicities (aggregated),2014,Teen birth rate
Anne Arundel,13.9,All races/ ethnicities (aggregated),2014,Teen birth rate
Baltimore City,41,All races/ ethnicities (aggregated),2014,Teen birth rate
Baltimore County,15,All races/ ethnicities (aggregated),2014,Teen birth rate
Calvert,12.2,All races/ ethnicities (aggregated),2014,Teen birth rate
Caroline,22.4,All races/ ethnicities (aggregated),2014,Teen birth rate
Carroll,8.8,All races/ ethnicities (aggregated),2014,Teen birth rate
Cecil,17.5,All races/ ethnicities (aggregated),2014,Teen birth rate
Charles,13.7,All races/ ethnicities (aggregated),2014,Teen birth rate
Dorchester,42,All races/ ethnicities (aggregated),2014,Teen birth rate
Frederick,11.2,All races/ ethnicities (aggregated),2014,Teen birth rate
Garrett,23.2,All races/ ethnicities (aggregated),2014,Teen birth rate
Harford,10,All races/ ethnicities (aggregated),2014,Teen birth rate
Howard,7.2,All races/ ethnicities (aggregated),2014,Teen birth rate
Kent,9.5,All races/ ethnicities (aggregated),2014,Teen birth rate
Montgomery,12.3,All races/ ethnicities (aggregated),2014,Teen birth rate
Prince George's,21.3,All races/ ethnicities (aggregated),2014,Teen birth rate
Queen Anne's,15.1,All races/ ethnicities (aggregated),2014,Teen birth rate
Saint Mary's,18,All races/ ethnicities (aggregated),2014,Teen birth rate
Somerset,17.7,All races/ ethnicities (aggregated),2014,Teen birth rate
Talbot,15.3,All races/ ethnicities (aggregated),2014,Teen birth rate
Washington,30.4,All races/ ethnicities (aggregated),2014,Teen birth rate
Wicomico,21,All races/ ethnicities (aggregated),2014,Teen birth rate
Worcester,11.5,All races/ ethnicities (aggregated),2014,Teen birth rate
State,19.3,All races/ ethnicities (aggregated),2013,Teen birth rate
Allegany,26.6,All races/ ethnicities (aggregated),2013,Teen birth rate
Anne Arundel,15.6,All races/ ethnicities (aggregated),2013,Teen birth rate
Baltimore City,43.4,All races/ ethnicities (aggregated),2013,Teen birth rate
Baltimore County,15.4,All races/ ethnicities (aggregated),2013,Teen birth rate
Calvert,13.8,All races/ ethnicities (aggregated),2013,Teen birth rate
Caroline,25.3,All races/ ethnicities (aggregated),2013,Teen birth rate
